date,lf,lf_employed,lf_unemployed,p_rate,u_rate
2022-05-01,16553.2,15921.7,631.6,69.6,3.8
2022-06-01,16620.9,16034.8,603.9,69.8,3.6
2022-07-01,16611.0,15996.5,601.8,69.7,3.6
2022-08-01,16647.2,16058.0,604.7,69.7,3.6
2022-09-01,16640.1,16030.1,607.5,69.7,3.7
2022-10-01,16656.8,16033.7,618.8,69.6,3.7
2022-11-01,16686.4,16063.3,620.1,69.7,3.7
2022-12-01,16719.8,16097.7,622.2,69.7,3.7
2023-01-01,16739.7,16129.0,603.3,69.7,3.6
2023-02-01,16770.6,16176.4,594.3,69.8,3.5
2023-03-01,16804.5,16221.9,586.8,69.9,3.5
2023-04-01,16829.1,16250.4,582.9,69.9,3.5
2023-05-01,16871.2,16293.3,578.5,70.0,3.4
2023-06-01,16933.1,16381.7,560.3,70.2,3.3
2023-07-01,16942.3,16368.7,565.8,70.2,3.3
2023-08-01,16960.9,16394.1,573.9,70.2,3.4
2023-09-01,16948.3,16364.6,578.0,70.1,3.4
2023-10-01,16954.3,16369.2,583.4,70.0,3.4
2023-11-01,16977.1,16392.1,581.9,70.1,3.4
2023-12-01,17001.7,16424.9,580.1,70.1,3.4
2024-01-01,16785.8,16216.3,561.1,70.5,3.3
2024-02-01,16820.1,16262.3,556.2,70.5,3.3
2024-03-01,16848.6,16293.2,555.7,70.5,3.3
2024-04-01,16909.6,16356.7,556.6,70.6,3.3
2024-05-01,16945.7,16393.5,552.6,70.6,3.3
2024-06-01,16988.7,16464.4,542.6,70.7,3.2
2024-07-01,17012.8,16466.4,547.7,70.6,3.2
2024-08-01,17051.3,16508.6,549.4,70.7,3.2
2024-09-01,17073.3,16513.3,552.1,70.6,3.2
2024-10-01,17089.5,16527.5,552.7,70.5,3.2
2024-11-01,17113.6,16563.7,547.1,70.5,3.2
2024-12-01,17155.9,16612.5,541.7,70.5,3.2
2025-01-01,17228.5,16690.2,534.0,70.6,3.1
2025-02-01,17285.9,16765.8,532.5,70.7,3.1
2025-03-01,17342.6,16804.2,528.2,70.8,3.0
2025-04-01,17351.6,16821.3,526.3,70.7,3.0
2025-05-01,17387.9,16865.6,523.1,70.7,3.0
2025-06-01,17434.5,16932.4,516.1,70.8,3.0
2025-07-01,17470.7,16956.5,520.0,70.9,3.0
2025-08-01,17498.6,16990.2,518.6,70.9,3.0
2025-09-01,17530.6,17014.2,519.3,70.9,3.0
2025-10-01,17555.3,17032.3,521.1,70.9,3.0
2025-11-01,17595.9,17055.7,520.2,71.0,3.0
2025-12-01,17634.9,17111.4,518.3,70.9,2.9
