state,district,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Sarawak,Selangau,2019-01-01,12.5,12.1,0.4,5.9,67.8,3.3,65.76086956521739
Sarawak,Selangau,2020-01-01,12.2,11.8,0.4,6.3,65.9,3.2,63.78378378378379
Sarawak,Selangau,2021-01-01,12.2,11.6,0.5,6.7,64.6,4.3,61.702127659574465
Sarawak,Selangau,2022-01-01,12.3,11.8,0.5,6.7,64.8,4.0,62.10526315789474
Sarawak,Serian,2019-01-01,53.0,51.3,1.6,20.7,71.9,3.0,69.60651289009498
Sarawak,Serian,2020-01-01,50.6,48.2,2.4,23.9,68.5,4.7,65.2232746955345
Sarawak,Serian,2021-01-01,51.1,48.1,2.9,24.2,67.9,5.8,63.87782204515272
Sarawak,Serian,2022-01-01,51.5,48.8,2.8,24.1,68.1,5.4,64.55026455026454
Sarawak,Sibu,2019-01-01,133.0,128.3,4.7,61.5,68.4,3.6,65.96401028277636
Sarawak,Sibu,2020-01-01,127.9,120.5,7.3,66.8,65.7,5.7,61.921891058581714
Sarawak,Sibu,2021-01-01,130.9,123.2,7.7,65.1,66.8,5.9,62.889229198570696
Sarawak,Sibu,2022-01-01,134.0,127.2,6.8,63.6,67.8,5.1,64.37246963562754
Sarawak,Simunjan,2019-01-01,22.0,21.4,0.7,9.5,69.9,3.0,67.93650793650792
Sarawak,Simunjan,2020-01-01,22.4,21.3,1.1,9.3,70.6,4.7,67.19242902208202
Sarawak,Simunjan,2021-01-01,22.7,21.4,1.3,9.7,69.9,5.5,66.04938271604938
Sarawak,Simunjan,2022-01-01,22.9,21.8,1.1,9.5,70.6,4.6,67.28395061728396
Sarawak,Song,2019-01-01,11.0,10.6,0.4,5.2,68.0,4.0,65.4320987654321
Sarawak,Song,2020-01-01,11.1,10.5,0.6,5.3,67.6,5.5,64.02439024390245
Sarawak,Song,2021-01-01,11.3,10.6,0.7,5.5,67.3,6.3,63.095238095238095
Sarawak,Song,2022-01-01,11.4,10.7,0.7,5.4,67.7,5.7,63.69047619047619
Sarawak,Sri Aman,2019-01-01,36.2,35.3,0.9,16.0,69.3,2.5,67.62452107279692
Sarawak,Sri Aman,2020-01-01,36.8,35.6,1.2,15.7,70.2,3.3,67.80952380952381
Sarawak,Sri Aman,2021-01-01,35.6,34.7,1.0,18.0,66.4,2.7,64.73880597014926
Sarawak,Sri Aman,2022-01-01,36.0,35.2,0.8,17.4,67.4,2.2,65.91760299625469
Sarawak,Tatau,2019-01-01,18.0,17.4,0.6,7.6,70.2,3.4,67.70428015564201
Sarawak,Tatau,2020-01-01,17.2,16.5,0.7,8.2,67.7,4.1,64.96062992125985
Sarawak,Tatau,2021-01-01,17.6,16.8,0.8,7.9,69.2,4.6,65.88235294117646
Sarawak,Tatau,2022-01-01,17.7,16.9,0.7,7.7,69.6,4.1,66.53543307086613
Selangor,Gombak,2019-01-01,442.3,429.9,12.4,152.8,74.3,2.8,72.22782258064515
Selangor,Gombak,2020-01-01,454.7,432.7,22.0,151.9,74.7,4.8,71.09760105159381
Selangor,Gombak,2021-01-01,452.2,425.7,26.4,155.1,74.5,5.8,70.1086956521739
Selangor,Gombak,2022-01-01,458.9,438.2,20.7,152.0,75.1,4.5,71.73023408086429
Selangor,Klang,2019-01-01,576.9,560.2,16.7,170.8,77.2,2.9,74.9331193151418
Selangor,Klang,2020-01-01,570.6,549.7,20.9,175.6,76.4,3.7,73.56798715203426
Selangor,Klang,2021-01-01,590.1,561.0,29.2,166.9,77.9,4.9,74.09853387927619
Selangor,Klang,2022-01-01,608.9,583.2,25.7,165.6,78.6,4.2,75.30019367333765
Selangor,Kuala Langat,2019-01-01,148.1,143.7,4.4,48.2,75.4,3.0,73.20427916454405
Selangor,Kuala Langat,2020-01-01,149.1,144.9,4.2,53.0,73.1,2.8,70.99461048505636
Selangor,Kuala Langat,2021-01-01,150.6,145.6,5.0,51.7,74.4,3.3,71.97231833910034
Selangor,Kuala Langat,2022-01-01,152.2,148.4,3.8,51.6,74.7,2.5,72.7807748896518
Selangor,Kuala Selangor,2019-01-01,136.1,132.1,4.0,48.2,73.8,3.0,71.63774403470715
Selangor,Kuala Selangor,2020-01-01,129.6,123.0,6.6,61.1,70.2,5.1,66.59447753113157
Selangor,Kuala Selangor,2021-01-01,133.3,127.5,5.8,54.5,71.0,4.3,67.89137380191693
Selangor,Kuala Selangor,2022-01-01,134.9,129.4,5.5,54.7,71.2,4.1,68.24894514767934
